From;To;Type;Through;start_x;start_y;stop_x;stop_y;adjacency_rule_name;Comment
20311;20312;sea;21384;-1;-1;-1;-1;;
14649;20309;sea;20884;-1;-1;-1;-1;;
13734;20314;sea;21576;-1;-1;-1;-1;;
19515;20316;sea;20840;-1;-1;-1;-1;;
6164;17628;sea;21470;-1;-1;-1;-1;Cherkasy_Blahodatne;
21494;21002;sea;67;-1;-1;-1;-1;Zaporizhia_Kamianske;
21280;21478;sea;6389;-1;-1;-1;-1;Kremenchuk_Strait;
21004;20628;sea;370;-1;-1;-1;-1;Ostriv_Plavuchyy;
21467;21354;sea;8800;-1;-1;-1;-1;Kyiv_Strait;
4758;21874;land;20679;-1;-1;-1;-1;Kerch_bridge;
21874;8207;land;20679;-1;-1;-1;-1;Kerch_bridge;
21876;21875;land;20414;-1;-1;-1;-1;Chongar_Strait;
14277;12851;impassable;-1;-1;-1;-1;-1;;Crimea_marshes
14907;3667;land;6818;-1;-1;-1;-1;Moscow_Saint_Petersburg_Kaliningrad;
21458;20389;sea;14841;-1;-1;-1;-1;Baltiysk_Strait;
21383;21166;sea;6818;-1;-1;-1;-1;Klaipeda_Strait;
20995;21552;sea;13979;-1;-1;-1;-1;Velyke_Hyrlo;
5989;15019;land;678;-1;-1;-1;-1;Suwalki_Gap;
424;6818;land;1064;-1;-1;-1;-1;Curonian_Spit;
21895;21945;sea;21530;2436;770;2438;771;;
21949;4917;sea;21897;2473;776;2473;773;;
21901;21942;sea;21900;2492;797;2494;799;;
21903;21915;sea;21902;2564;810;2563;807;;
21892;19099;sea;21530;2407;749;2409;747;;
21892;21893;sea;21530;2411;753;2409;754;;
21952;21956;sea;21530;2473;782;2473;788;;
21894;21937;sea;21530;2432;759;2434;757;;
21931;21922;sea;21904;2578;818;2584;811;;
21894;21892;sea;21530;2425;756;2422;754;;
11331;21895;sea;21530;2421;765;2423;765;;
21940;21899;sea;21897;2494;789;2494;787;;
21941;21899;sea;21900;2512;798;2510;798;;
8081;14803;sea;7608;-1;-1;-1;-1;Curonian_Spit;
14803;14875;sea;7608;2847;1061;2849;1064;Curonian_Spit;
14803;14503;sea;7608;2844;1060;2842;1058;Curonian_Spit;
8081;14875;sea;7608;2846;1069;2848;1067;Curonian_Spit;
21929;21903;sea;21902;2563;817;2563;815;;
21939;21893;sea;21530;2411;757;2410;759;;
21901;14782;sea;21897;-1;-1;-1;-1;;
20305;14807;sea;21897;-1;-1;-1;-1;;

2364;7358;sea;21815;2841;1203;2839;1205;;
2468;4846;sea;21815;2846;1210;2844;1211;;
14929;1298;sea;21815;2827;1206;2828;1210;;
14917;14360;sea;21815;2818;1208;2819;1212;;
7921;3378;sea;21815;2811;1208;2812;1213;;
6121;14986;sea;21815;-1;-1;-1;-1;;
11741;7153;sea;13175;-1;-1;-1;-1;;


